id;valor;data;descricao;metodo_pagamento;situacao
1;32819;2019-12-16T00:38:32;Wooden invoice secured line;CREDITO;PAGO
2;87169;2019-12-15T23:12:07;syndicate Digitized District;CREDITO;PAGO
3;88941;2019-12-16T21:52:11;Metrics;CREDITO;DISPONIVEL_BANCO
4;40335;2019-12-16T01:27:30;Customer-focused Utah Money Market Account;DEBITO;PAGO
5;21630;2019-12-16T12:27:08;Pound Sterling;DEBITO;DISPONIVEL_BANCO
6;1432;2019-12-15T23:55:49;primary Consultant Representative;DEBITO;DISPONIVEL_BANCO
7;35204;2019-12-16T19:01:27;neural;DEBITO;DISPONIVEL_BANCO
8;72737;2019-12-16T06:18:28;Wooden Proactive Boliviano Mvdol;DEBITO;DISPONIVEL_BANCO
9;30762;2019-12-15T23:01:29;Soft unleash Buckinghamshire;PARCELADO;PAGO
10;16143;2019-12-16T16:23:03;Generic Cotton Chair Cambridgeshire;PARCELADO;PAGO
