id;codigo;descricao
1;222.01.001;SALÁRIOS
2;222.01.002;ADIANTAMENTO DE SALÁRIO
3;222.01.003;ADIANTAMENTO DE VIAGENS (VALORES QUE POSTERIORMENTE SERÃO LANÇADOS EM LINHAS ESPECÍFICAS-EX.PEDÁGIO)
4;222.01.004;13º SALÁRIO -  (CONSIDERA-SE A 1ª E 2ª PARCELA )
5;222.01.005;FÉRIAS
6;222.01.006;RESCISÃO FINAL
7;222.01.007;VALE TRANSPORTE FUNCIONÁRIOS
8;222.01.008;VALE TRANSPORTE SERVIÇOS AVULSOS
9;222.01.009;INDENIZAÇÕES TRABALHISTAS
10;222.01.010;AJUDA DE CUSTO MORADIA
11;222.01.011;UNIFORMES - ( EPIs , CRACHÁS)
12;222.01.012;SEGURO DE VIDA
13;222.01.013;CESTA BÁSICA
14;222.01.014;GRATIFICAÇÕES -( FESTAS , CONFRATERNIZAÇÕES , PGTOS EM ESPÉCIE)
15;222.01.015;ASSISTÊNCIA MÉDICA E ODONTOLÓGICA - ATENDIMENTO MÉDICO , URGENCIAS, EXAMES EXTRAS)
16;222.01.016;PLR-PRÊMIOS POR LUCROS E RESULTADOS - NECESSÁRIO QUANDO CONSTAR NA CONVENÇÃO COLETIVA
17;222.01.017;FARMÁCIA/MEDICAMENTOS
18;222.01.018;LANCHES/REFEIÇÕES FUNCIONÁRIOS
19;222.01.019;LANCHES/REFEIÇÕES SERVIÇOS AVULSOS
20;222.01.020;COMISSÕES SOBRE METAS
21;222.01.021;EXAMES ADMISSIONAIS/DEMISSIONAIS/PERIÓDICOS
22;222.02.001;INSS - GPS
23;222.02.002;FGTS
24;222.02.003;FGTS RESCISÓRIO
25;222.02.004;MEDICINA DO TRABALHO - PPRA/PCMSO
26;222.02.005;CONTRIBUIÇÃO SINDICAL (aqui considera-se inclusive , a contratação de terceirizados e eventuais taxas de sindicatos)
27;222.02.006;CONTRIBUIÇÃO ASSISTENCIAL
28;222.02.007;CONTRIBUIÇÃO CONFEDERATIVA
29;222.03.001;COFINS
30;222.03.002;PIS
31;222.03.003;IRRF
32;222.03.004;IRPJ
33;222.03.005;IRPF
34;222.03.006;SIMPLES
35;222.03.007;ICMS SOBRE VENDAS/DIFERENÇAS DE ALIQUOTA
36;222.03.008;ISSQN
37;222.03.009;CSSL
38;222.03.010;ECAD
39;222.03.011;IPTU
40;222.03.012;IPVA /LICENCIAMENTO
41;222.03.013;DESPESAS LEGAIS E JUDICIAIS
42;222.03.014;ART - ANOTAÇÃO DE RESPONSABILIDADE TÉCNICA
43;222.03.015;ALVARÁ DE FUNCIONAMENTO ( aqui considera-se inclusive, Tx de Bombeiro e todas aquelas necessárias ao funcionamento)
44;222.03.016;ALVARÁ VIGILANCIA SANITÁRIA
45;222.03.017;ALVARÁ/TAXAS BOMBEIROS
46;222.03.018;PARCELAMENTO DE IMPOSTOS
47;222.03.019;CERTIFICADO DIGITAL
48;222.04.001;ALUGUEL MIÍNIMO/PERCENTUAL
49;222.04.002;CONDOMÍNIO/ENCARGOS COMUNS
50;222.04.003;ENERGIA
51;222.04.004;ÁGUA E ESGOTO
52;222.04.005;SEGUROS -  VALOR EXCLUSIVAMENTE LANÇADO NO BOLETO DO SHOPPING
53;222.04.006;AR-CONDICIONADO (FORNECIMENTO DE ÁGUA GELADA)
54;222.04.007;DEDETIZAÇÃO
55;222.04.008;FUNDO DE PROMOÇÃO/COTA ORDINÁRIA
56;222.04.009;GÁS
57;222.04.010;ASSOCIAÇÃO DE LOJISTA
58;222.05.001;COMISSÃO CARTÕES DE DÉBITO
59;222.05.002;COMISSÃO CARTÕES DE CRÉDITO
60;222.05.003;COMISSÃO CARTÕES PARCELADO
61;222.05.004;JUROS E MULTAS - TODAS AQUELAS GERADAS POR ATRASO EM PAGAMENTOS
62;222.05.005;IOF E JUROS DE CHEQUE ESPECIAL- LANÇADAS NO EXTRATO BANCÁRIO
63;222.05.006;TARIFA BANCÁRIA
64;222.05.007;TARIFA DE MAQUINETA DE CARTÃO - ESTA TARIFA APARECE NO EXTRATO DA OPERADORA DO CARTÃO
65;222.06.001;DESPESAS COM GRAFICA
66;222.06.002;SONORIZAÇÃO
67;222.06.003;MATERIAL DE PINTURA FACIAL
68;222.06.004;PROMOÇÕES - BALAS/BOMBONS/DOCES
69;222.06.005;FOLDER/BANNER -(DESENVOLVIMENTO E CRIAÇÃO)
70;222.06.006;MÍDIA - (ANÚNCIOS EM RÁDIO /TV/JORNAL E REVISTAS)
71;222.06.007;EQUIPAMENTOS - ALUGUEIS DIVERSÕES/RIDES
72;222.07.001;PIPOCA
73;222.07.002;CHURROS
74;222.07.003;ALGODÃO DOCE
75;222.07.004;SORVETES/PICOLÉS
76;222.07.005;ÁGUAS
77;222.07.006;REFRIGERANTES
78;222.07.007;REFRIGERANTES 2L
79;222.07.008;CERVEJA
80;222.07.009;SALGADOS
81;222.07.010;PIZZAS
82;222.07.011;SUCOS
83;222.07.012;POLPAS
84;222.07.013;BOMBONS/PIRULITOS
85;222.07.014;CHOCOLATES
86;222.07.015;BOLACHAS/MILITOS/BATATAS
87;222.07.016;BALAS/GOMAS
88;222.07.017;ACHOCOLATADOS
89;222.07.018;FESTAS ( TODO MATERIAL UTILIZADO PARA REALIZAÇÃO DAS FESTAS.EX: DECORAÇÃO, PRATINHOS, GARFINHOS, BEXIGAS)
90;222.07.019;ESCOLAS ( TODO MATERIAL UTILIZADO PARA REALIZAÇÃO DAS EXCURSÕES.EX: DECORAÇÃO, PRATINHOS, GARFINHOS, BEXIGAS)
91;222.07.020;EMPRESAS ( TODO MATERIAL UTILIZADO PARA REALIZAÇÃO DOS EVENTOS.EX: DECORAÇÃO, PRATINHOS, GARFINHOS, BEXIGAS)
92;222.07.021;REFRIGERANTES/AGUAS/SUCOS - PETS PARA FESTAS/ESCOLAS/EMPRESAS
93;222.07.022;BRINDES PARA PESCARIA
94;222.07.023;BRINDES PARA STACKER
95;222.07.024;BRINDES BALCÃO DE TROCAS TICKETS
96;222.07.025;BRINDES PARA KEY MASTER
97;222.07.026;COMPRA TICKETS PARA MAQUINAS REDEMPTIONS
98;222.07.027;PELÚCIAS PEQUENAS
99;222.07.028;PELÚCIAS MÉDIAS
100;222.07.029;PELÚCIAS GRANDES
101;222.07.030;BOLAS PARA GRUAS
102;222.07.031;ANIMAL KAISER - (CARDS)
103;222.07.032;CARTÃO PLAY PASS - NORMAL 
104;222.07.033;CARTÃO PLAY PASS - VIP
105;222.07.034;CARTÃO PLAY PASS - FESTAS
106;222.08.001;CONTADOR
107;222.08.002;ADVOGADO
108;222.08.003;AUDITORIA CONTÁBIL
109;222.08.004;SERVIÇOS PRESTADORES PESSOA JURÍDICA - PROFISSIONAIS QUE TEM EMPRESA ABERTA,EMITIRÃO NOTA FISCAL
110;222.08.005;SERVIÇOS PRESTADORES PESSOA FÍSICA - PROFISSIONAIS AUTÔNOMOS PAGOS ATRAVÉS DE RECIBOS
111;222.09.001;LINHA TELEFÔNICA CELULAR
112;222.09.002;LINHA TELEFÔNICA FIXA
113;222.09.003;PEDÁGIOS
114;222.09.004;DESPESAS COM CÓPIAS E GRÁFICAS -  IMPRESSÃO DE FOLDERS/MATERIAIS IMPRESSOS/BANNERS/ADESIVOS
115;222.09.005;CORREIOS
116;222.09.006;CONSERVAÇÃO E LIMPEZA
117;222.09.007;TÁXI/UBER
118;222.09.008;COMBUSTÍVEL VEÍCULOS
119;222.09.009;LAVAGEM VEÍCULOS
1;222.09.010;ESTACIONAMENTO
120;222.09.011;VEÍCULOS - (PEÇAS, TROCA DE ÓLEO, PNEU, MANUTENÇÃO )
121;222.09.012;PRÓ-LABORE - AQUI INCLUI-SE TODAS AS DESPESAS COM SÓCIOS
122;222.09.013;MANUTENÇÃO DO SISTEMA I/O - SOMENTE RELATIVO AO SISTEMA FLIPPER
123;222.09.014;MENSALIDADES MANUTENÇÃO SISTEMA I/O 
124;222.09.015;MENSALIDADE MANUTENÇÃO LANCHONETE
125;222.09.016;MANUTENÇÃO E REPAROS - AQUELAS FEITAS NA LOJA (EX: PINTURA, TROCA DE LÂMPADA, REPARO NO PISO)
126;222.09.017;MANUTENÇÃO DE EQUIPAMENTOS - AQUELAS FEITAS NOS EQUIPAMENTOS (EX.SUBSTITUIÇÃO DE PEÇAS EM GERAL)
127;222.09.018;RECARGA DE EXTINTORES/REVISÕES MANGUEIRAS HIDRANTES
128;222.09.019;INTERNET
129;222.09.020;SEGUROS RESPONSABILIDADE CIVIL
130;222.09.021;SEGUROS AUTOMÓVEIS
131;222.09.022;FRETES E CARRETOS
132;222.09.023;JORNAIS E REVISTAS - COMPRA OU ASSINATURA
133;222.09.024;CARTÓRIO - AUTENTICAÇÃO E RECONHECIMENTO DE FIRMA
134;222.10.001;PEDÁGIO
135;222.10.002;HOSPEDAGEM
136;222.10.003;ALIMENTAÇÃO - VIAGENS
137;222.10.004;DESLOCAMENTOS - TAXIS/UBER - VIAGENS
138;222.10.005;PASSAGEM - BILHETES AÉREOS/RODOVIÁRIOS
