id;nome_fantasia;razao_social;c_npj;endereco
1;Funpark 1;Razão social 1;76.455.406/0001-20;Av. Arquiteto J. H. Bento Rodrigues, 3760 - Monte das Oliveiras, Manaus - AM, 69093-149, Brasil
2;Funpark 2;Razão social 2;76.455.406/0001-20;Av. Arquiteto J. H. Bento Rodrigues, 3760 - Monte das Oliveiras, Manaus - AM, 69093-149, Brasil
3;Funpark 3;Razão social 3;76.455.406/0001-20;Av. Arquiteto J. H. Bento Rodrigues, 3760 - Monte das Oliveiras, Manaus - AM, 69093-149, Brasil
4;Funpark 4;Razão social 4;76.455.406/0001-20;Av. Arquiteto J. H. Bento Rodrigues, 3760 - Monte das Oliveiras, Manaus - AM, 69093-149, Brasil
5;Funpark 5;Razão social 5;76.455.406/0001-20;Av. Arquiteto J. H. Bento Rodrigues, 3760 - Monte das Oliveiras, Manaus - AM, 69093-149, Brasil
6;Funpark 6;Razão social 6;76.455.406/0001-20;Av. Arquiteto J. H. Bento Rodrigues, 3760 - Monte das Oliveiras, Manaus - AM, 69093-149, Brasil
7;Funpark 7;Razão social 7;76.455.406/0001-20;Av. Arquiteto J. H. Bento Rodrigues, 3760 - Monte das Oliveiras, Manaus - AM, 69093-149, Brasil
8;Funpark 8;Razão social 8;76.455.406/0001-20;Av. Arquiteto J. H. Bento Rodrigues, 3760 - Monte das Oliveiras, Manaus - AM, 69093-149, Brasil
9;Funpark 9;Razão social 9;76.455.406/0001-20;Av. Arquiteto J. H. Bento Rodrigues, 3760 - Monte das Oliveiras, Manaus - AM, 69093-149, Brasil
10;Funpark 10;Razão social 10;76.455.406/0001-20;Av. Arquiteto J. H. Bento Rodrigues, 3760 - Monte das Oliveiras, Manaus - AM, 69093-149, Brasil
