id;nome;situacao;grupo_maquina_id
1;18 WHEELER A;ATIVO;6
2;18 WHEELER B;ATIVO;6
3;AIR GAME A;ATIVO;7
4;AIR GAME B;ATIVO;7
5;AIR GAME C;ATIVO;7
6;AIR GAME D;ATIVO;7
7;AIR GAME E;ATIVO;7
8;AIR GAME F;ATIVO;7
9;AIR GAME G;ATIVO;7
10;AIR GAME H;ATIVO;7
11;ALIENS EXTERMINA;ATIVO;6
12;AREA BABY;ATIVO;2
13;ASTRO INVASION A;ATIVO;4
14;ASTRO INVASION B;ATIVO;4
15;ATAQUE TUBAROES;ATIVO;4
16;AUTORAMA;ATIVO;2
17;AVION SERVICE;ATIVO;2
18;BASQUETE I JUMP;ATIVO;5
19;BATMAN;ATIVO;4
20;BOLA SAFARI;ATIVO;4
21;BUMPER CARS;ATIVO;2
22;CALIFORNIA SPEED A;ATIVO;6
23;CALIFORNIA SPEED B;ATIVO;6
24;CAMA ELASTICA;ATIVO;2
25;CARRAO DRIFT A;ATIVO;6
26;CARRAO DRIFT B;ATIVO;6
27;CARRAO MULTICARA;ATIVO;6
28;CARRAO MULTICARB;ATIVO;6
29;CARRAODAYTONA2 A;ATIVO;6
30;CARRAODAYTONA2 B;ATIVO;6
31;CARRAOROADEDGE A;ATIVO;6
32;CARRAOROADEDGE B;ATIVO;6
33;CARRAOSEGARALLYA;ATIVO;6
34;CARRAOSEGARALLYB;ATIVO;6
35;CARRAOWACKYRACEA;ATIVO;6
36;CARRAOWACKYRACEB;ATIVO;6
37;CARSPLITSECONDA;ATIVO;6
38;CARSPLITSECONDB;ATIVO;6
39;CART FURY A;ATIVO;6
40;CART FURY B;ATIVO;6
41;CATS E MICE;ATIVO;4
42;CHURROS;ATIVO;13
43;COMET SHOT A;ATIVO;4
44;COMET SHOT B;ATIVO;4
45;CRAZY HOOPS A;ATIVO;4
46;CRAZY HOOPS B;ATIVO;4
47;CRUINS WORLD B;ATIVO;6
48;CRUISN WORLD A;ATIVO;6
49;CYBER CYCLES A;ATIVO;6
50;CYBER CYCLES B;ATIVO;6
51;DANCA DDR A;ATIVO;6
52;DANCA DDR B;ATIVO;6
53;DANCA PUMP A;ATIVO;6
54;DANCA PUMP B;ATIVO;6
55;DEADSTORMPIRATES;ATIVO;6
56;DINO POP;ATIVO;4
57;DIVERKIDS A;ATIVO;5
58;DIVERKIDS B;ATIVO;5
59;DRAGO;ATIVO;4
60;DUCKY SPLASH A;ATIVO;4
61;DUCKY SPLASH B;ATIVO;4
62;DUO DRIVE CARRO;ATIVO;4
63;DUO DRIVE MOTO;ATIVO;4
64;ENTRADA 1;ATIVO;11
65;ENTRADA 2;ATIVO;11
66;ENTRADA 3;ATIVO;11
67;ENTRADA 4;ATIVO;11
68;FAMILY BOWL 2;ATIVO;4
69;FLYING TIGER;ATIVO;2
70;FRIGHT NIGHT;ATIVO;4
71;FROST ISLAND A;ATIVO;4
72;FROST ISLAND B;ATIVO;4
73;FUNKY GATORS;ATIVO;4
74;FUTEBOYS;ATIVO;5
75;GRUA A;ATIVO;12
76;GRUA B;ATIVO;12
77;GRUA BIG A;ATIVO;12
78;GRUA BOLA A;ATIVO;12
79;GRUA C;ATIVO;12
80;GRUA MINI A;ATIVO;12
81;GUITAR HERO 3;ATIVO;6
82;GUNBLADE;ATIVO;6
83;HAMMER;ATIVO;4
84;HIPODANCE;ATIVO;4
85;HIT MANIA;ATIVO;4
86;HOUSE OF DEAD 3;ATIVO;6
87;HOUSE OF DEAD 4;ATIVO;6
88;I TARGET;ATIVO;5
89;INTERLAGOS;ATIVO;4
90;JUNGLE DRUMMER;ATIVO;4
