id;codigo;descricao
1;111.01.001;EQUIPAMENTOS COLETIVOS
2;111.01.002;KIDDIES RIDERS
3;111.01.003;TRANSPORT 6
4;111.01.004;KEY MASTER
5;111.01.005;AIR HOCKEYS
6;111.01.006;GRUAS
7;111.01.007;JOGOS ELETRÔNICOS
8;111.01.008;SIMULADORES
9;111.01.009;STACKERS
10;111.01.010;REDEMPTIONS (EQUIPAMENTOS QUE LIBERAM TICKETS)
11;111.01.011;PIPOCA
12;111.01.012;ALGODÃO DOCE
13;111.01.013;CHURROS
14;111.01.014;AGUA
15;111.01.015;REFRIGERANTES LATA
16;111.01.016;REFRIGERANTES GARRAFINHA
17;111.01.017;REFRIGERANTES 600ML
18;111.01.018;REFRIGERANTES 2L
19;111.01.019;SUCOS
20;111.01.020;ACHOCOLATADOS
21;111.01.021;CERVEJA
22;111.01.022;SALGADOS
23;111.01.023;PIZZAS
24;111.01.024;PASTEIS
25;111.01.025;SANDUICHES
26;111.01.026;DOCES/CHOCOLATES
27;111.01.027;FESTAS ANIVERSÁRIO
28;111.01.028;EVENTOS ESCOLARES
29;111.01.029;EVENTOS EMPRESARIAIS
30;111.01.030;PROMOÇÕES EVENTUAIS - (TEMPO, ITAÚ, COMPRAS COLETIVAS, FAMÍLIA E OUTRAS)
31;111.01.031;PROMOÇÕES GULOSEIMAS - COMBOS - (PIPOCA+ÁGUA, ALGODÃO+ÁGUA, CHURROS+ÁGUAS E OUTRAS)
32;111.01.032;CARTÕES PLAYPASS - NORMAL
33;111.01.033;CARTÕES PLAYPASS - VIP
34;111.01.034;CRÉDITOS CIRCULANTES PLAY PASS
35;111.01.035;FUNPASS - COLETIVOS
36;111.01.036;FUNPASS - COLETIVOS + GAMES
37;111.01.037;FUNPASS - COMBO FAMÍLIA
38;111.02.001;EMPRÉSTIMOS RECEBIDOS FUNPARK VIA NORTE
39;111.02.002;EMPRESTIMOS RECEBIDO PUPPY AMAZONAS
40;111.02.003;EMPRESTIMOS RECEBIDO FUNPARK MANIA VIA NORTE
41;111.02.004;EMPRESTIMO RECEBIDO PLAZA PARK
42;111.02.005;EMPRESTIMO RECEBIDO KIDDS E PARKS
43;111.02.006;EMPRESTIMO RECEBIDO FUNPARK MANIA TERESINA
44;111.02.007;EMPRESTIMOS RECEBIDOS SR BETO
45;111.02.008;BUFFET FESTAS ( VALORES RECEBIDOS DE CLIENTES PARA PGTO DE ÍTENS DA FESTA, EX:BOLO,REFRI , ETC.)
46;111.02.009;DIFERENÇA DE CAIXA - VALORES DE SOBRA DOS CAIXAS
47;111.02.010;RESGATES CHEQUE COMPENSADO - TODOS VALORES RECEBIDOS EM FORMA DE CHEQUE
48;111.02.011;RESGATES CARTÕES DE VENDAS A DÉBITO PARA RECEBIMENTO DO DIA  - RECEBÍVEIS SOB A FORMA DE CARTÃO 
49;111.02.012;RESGATES CARTÕES DE VENDAS A CREDITO PARA RECEBIMENTO DO DIA - RECEBÍVEIS SOB A FORMA DE CARTÃO 
50;111.02.013;RESGATES CARTÕES DE VENDAS PARCELADAS PARA RECEBIMENTO DO DIA - RECEBÍVEIS SOB A FORMA DE CARTÃO 
51;111.02.014;RESGATES PARA O CAIXA - DÉBITOS BANCÁRIOS - VALORES MOVIMENTADOS NA CONTA CORRENTE
52;111.02.015;RECEBIDO FUNPARK MANIA VIA NORTE PARA COMPLEMENTO PGTO SIMPLES NACIONAL
53;111.02.016;RECEBIDO PUPPY AMAZONAS PARA COMPLEMENTO PGTO SIMPLES NACIONAL
54;111.02.017;RECEBIDO REEMBOLSO ADVOGADO PUPPY AMAZONAS
55;111.02.018;RECEBIDO REEMBOLSO ADVOGADO PUPPY TERESINA
56;111.02.019;RECEBIDO REEMBOLSO ADVOGADO PLAZA PARK
57;111.02.020;RECEBIDO REEMBOLSO ADVOGADO KIDDS E PARKS
58;111.02.021;RECEBIDO REEMBOLSO ADVOGADO FUNPARK MANIA VIA NORTE
59;111.02.022;DEPÓSITO JUDICIAL
60;111.02.023;ALUGUÉIS RECEBIDOS
61;111.02.024;REEMBOLSOS RECEBIDOS
62;111.02.025;VENDA DE IMOBILIZADO
63;111.02.026;CHEQUES DEVOLVIDOS RECUPERADOS
64;111.02.027;RENDIMENTOS BANCÁRIOS
